SalePrice,BsmtQual,PoolQC,YearBuilt,OverallQual,GrLivArea,GarageCars
208500,3,0,2003,7,1710,2
181500,3,0,1976,6,1262,2
223500,3,0,2001,7,1786,2
140000,2,0,1915,7,1717,3
250000,3,0,2000,8,2198,3
143000,3,0,1993,5,1362,2
307000,4,0,2004,8,1694,2
200000,3,0,1973,7,2090,2
129900,2,0,1931,7,1774,2
118000,2,0,1939,5,1077,1
129500,2,0,1965,5,1040,1
345000,4,0,2005,9,2324,3
144000,2,0,1962,5,912,1
279500,3,0,2006,7,1494,3
157000,2,0,1960,6,1253,1
132000,2,0,1929,7,854,2
149000,2,0,1970,6,1004,2
90000,0,0,1967,4,1296,2
159000,2,0,2004,5,1114,2
139000,2,0,1958,5,1339,1
325300,4,0,2005,8,2376,3
139400,2,0,1930,7,1108,1
230000,3,0,2002,8,1795,2
129900,3,0,1976,5,1060,2
154000,2,0,1968,5,1060,1
256300,3,0,2007,8,1600,3
134800,2,0,1951,5,900,2
306000,4,0,2007,8,1704,3
207500,2,0,1957,5,1600,1
68500,2,0,1927,4,520,1
40000,2,0,1920,4,1317,1
149350,2,0,1966,5,1228,1
179900,4,0,2007,8,1234,2
165500,2,0,1959,5,1700,2
277500,4,0,2005,9,1561,2
309000,4,0,2004,8,2452,3
145000,3,0,1994,5,1097,2
153000,2,0,1954,5,1297,2
109000,2,0,1953,5,1057,1
82000,0,0,1955,4,1152,0
160000,2,0,1965,6,1324,2
170000,2,0,1959,5,1328,1
144000,3,0,1983,5,884,2
130250,3,0,1975,5,938,1
141000,2,0,1959,5,1150,1
319900,4,0,2005,9,1752,2
239686,4,0,2003,7,2149,2
249700,3,0,2006,8,1656,3
113000,2,0,1920,4,1452,0
127000,2,0,1966,5,955,1
177000,3,0,1997,6,1470,2
114500,2,0,1934,6,1176,2
110000,3,0,1963,5,816,2
385000,4,0,1981,9,1842,3
130000,2,0,1955,5,1360,2
180500,2,0,1964,6,1425,2
172500,3,0,1999,8,1739,2
196500,3,0,2004,7,1720,2
438780,4,0,2006,10,2945,3
124900,2,0,1972,5,780,1
158000,3,0,2004,6,1158,2
101000,2,0,1920,5,1111,1
202500,3,0,2006,8,1370,2
140000,2,0,1921,7,1710,2
219500,3,0,1997,7,2034,2
317000,4,0,2004,8,2473,3
180000,3,0,1970,7,2207,2
226000,3,0,2003,7,1479,2
80000,2,0,1945,4,747,1
225000,2,0,1953,7,2287,2
244000,3,0,1973,7,2223,2
129500,2,0,1982,4,845,2
185000,3,0,1998,7,1718,2
144900,2,0,1954,5,1086,2
107400,1,0,1915,3,1605,1
91000,3,0,1973,4,988,1
135750,2,0,1956,4,952,1
127000,2,0,1948,5,1285,1
136500,2,0,1968,4,1768,0
110000,2,0,1910,5,1230,2
193500,3,0,1968,6,2142,1
153500,4,0,1998,6,1337,2
245000,3,0,2007,8,1563,3
126500,2,0,1960,5,1065,2
168500,3,0,1995,7,1474,2
260000,3,0,1991,8,2417,2
174000,3,0,2005,6,1560,2
164500,3,0,2009,6,1224,2
85000,2,0,1915,3,1526,0
123600,3,0,1994,4,990,0
109900,0,0,1950,4,1040,2
98600,2,0,1961,5,1235,2
163500,3,0,1921,5,964,2
133900,2,0,1910,6,2291,2
204750,3,0,1997,6,1786,2
185000,3,0,1993,6,1470,2
214000,3,0,1999,7,1588,2
94750,2,0,1965,4,960,1
83000,2,0,1920,5,835,1
128950,2,0,1959,4,1225,0
205000,2,0,1977,6,1610,2
178000,3,0,1985,6,1732,2
118964,0,0,1979,5,1535,2
198900,3,0,2009,7,1226,3
169500,2,0,1931,7,1818,1
250000,4,0,2003,8,1992,2
100000,1,0,1885,4,1047,1
115000,2,0,1948,5,789,1
115000,2,0,1919,5,1517,0
190000,3,0,1977,6,1844,2
136900,2,0,1954,6,1855,1
180000,3,0,2000,7,1430,2
383970,4,0,2007,7,2696,3
217000,3,0,1953,6,2259,2
259500,2,0,1945,6,2320,1
176000,3,0,1999,6,1458,2
139000,2,0,1962,5,1092,1
155000,3,0,2006,5,1125,2
320000,3,0,1990,7,3222,3
163990,3,0,2005,6,1456,2
180000,2,0,1969,6,988,2
100000,2,0,1939,4,1123,1
136000,2,0,1958,6,1080,1
153900,3,0,1993,6,1199,2
181000,3,0,1979,6,1586,2
84500,2,0,1935,6,754,0
128000,3,0,1976,6,958,2
87000,2,0,1930,5,840,0
155000,2,0,1966,6,1348,2
150000,2,0,1958,5,1053,2
226000,2,0,1966,7,2157,2
244000,3,0,2000,6,2054,2
150750,2,0,1959,5,1327,2
220000,4,0,2001,8,1296,2
180000,2,0,1968,5,1721,2
174000,2,0,1970,7,1682,2
143000,2,0,1967,5,1214,1
171000,2,0,1988,7,1959,3
230000,3,0,1999,8,1852,3
231500,3,0,1997,6,1764,2
115000,2,0,1971,4,864,0
260000,3,0,2005,7,1734,2
166000,2,0,1952,5,1385,2
204000,3,0,1999,7,1501,2
125000,2,0,1963,5,1728,2
130000,3,0,2004,6,1709,2
105000,2,0,1931,5,875,1
222500,3,0,2001,7,2035,2
141000,3,0,2004,7,1080,0
115000,3,0,1936,5,1344,1
122000,2,0,1975,5,969,2
372402,4,0,2007,8,1710,3
190000,2,0,1971,6,1993,2
235000,3,0,1960,6,1252,2
125000,2,0,1923,6,1200,1
79000,2,0,1924,6,1096,0
109500,0,0,1950,5,1040,2
269500,4,0,2009,8,1968,3
254900,3,0,2004,7,1947,2
320000,3,0,2005,7,2462,2
162500,3,0,1984,6,1232,2
412500,4,0,2003,9,2668,3
220000,3,0,2005,7,1541,2
103200,2,0,1956,4,882,0
152000,2,0,1926,6,1616,1
127500,2,0,1940,5,1355,0
190000,2,0,1955,5,1867,1
325624,4,0,2007,8,2161,3
183500,3,0,2004,7,1720,2
228000,3,0,1981,8,1707,2
128500,2,0,1941,5,1382,2
215000,2,0,1960,6,1656,2
239000,3,0,1987,7,1767,2
163000,2,0,1961,6,1362,2
184000,3,0,1986,6,1651,2
243000,2,0,1950,6,2158,2
211000,3,0,1988,6,2060,2
172500,2,0,1958,5,1920,2
501837,4,0,2008,9,2234,3
100000,2,0,1923,5,968,2
177000,3,0,2000,6,1525,2
200100,1,0,1920,7,1802,1
120000,0,0,1957,5,1340,1
200000,3,0,2003,7,2082,2
127000,1,0,1908,5,1252,2
475000,2,0,1892,10,3608,3
173000,3,0,1990,7,1217,2
135000,1,0,1916,5,1656,1
153337,3,0,1979,5,1224,2
286000,4,0,2001,8,1593,2
315000,3,0,1932,8,2727,2
184000,2,0,1972,7,1479,2
192000,3,0,1999,7,1431,2
130000,3,0,2004,7,1709,2
127000,2,0,1972,5,864,1
148500,3,0,1976,6,1456,2
311872,4,0,2007,7,1726,3
235000,2,4,1918,8,3112,2
104000,2,0,1912,6,2229,0
274900,4,0,2004,8,1713,3
140000,3,0,2003,4,1121,2
171500,2,0,1977,6,1279,2
112000,1,0,1924,6,1310,1
149000,3,0,2004,6,848,2
110000,2,0,1947,5,1284,1
180500,3,0,1990,7,1442,2
143900,2,0,1962,5,1696,1
141000,2,0,1960,4,1100,1
277000,3,0,1988,7,2062,2
145000,3,0,1964,6,1092,2
98000,2,0,1925,5,864,0
186000,3,0,2009,6,1212,2
252678,3,0,2009,7,1852,2
156000,3,0,1995,5,990,2
161750,3,0,1977,6,1392,1
134450,2,0,1957,5,1236,1
210000,3,0,2004,7,1436,2
107000,2,0,1925,4,1328,1
311500,2,0,1939,7,1954,2
167240,3,0,2005,7,1248,2
204900,3,0,2006,7,1498,2
200000,3,0,2002,6,2267,2
179900,3,0,1975,6,1552,2
97000,2,0,1971,4,864,2
386250,4,0,2003,10,2392,3
112000,2,0,1971,5,1302,1
290000,3,0,1995,7,2520,3
106000,2,0,1970,6,987,1
125000,2,0,1967,5,912,1
192500,3,0,2005,7,1555,2
148000,2,0,1959,6,1194,1
403000,3,0,1995,8,2794,3
94500,2,0,1972,6,987,1
128200,2,0,1976,5,894,1
216500,3,0,2002,6,1960,2
89500,2,0,1971,6,987,1
185500,3,0,2004,7,1414,2
194500,3,0,1993,7,1744,2
318000,4,0,2007,8,1694,3
113000,2,0,1945,6,1487,1
262500,3,0,2008,8,1566,2
110500,2,0,1945,5,866,0
79000,2,0,1900,5,1440,1
120000,3,0,1980,6,1217,1
205000,3,0,1994,7,2110,2
241500,3,0,1988,7,1872,2
137000,1,0,1910,6,1928,1
140000,2,0,1954,6,1375,2
180000,3,0,2003,7,1668,2
277000,3,0,1958,6,2144,2
76500,2,0,1940,3,1306,0
235000,3,0,2006,8,1625,2
173000,3,0,2004,6,1640,2
158000,3,0,1964,6,1302,1
145000,2,0,1957,5,1314,1
230000,3,0,1999,7,2291,2
207500,3,0,2003,6,1728,2
220000,3,0,2006,7,1604,2
231500,3,0,2001,7,1792,2
97000,0,0,1956,5,882,1
176000,2,0,1962,6,1382,2
276000,4,0,2007,8,2574,3
151000,3,0,1977,6,1212,2
130000,2,0,1929,5,1316,2
73000,1,0,1925,5,764,2
175500,3,0,1981,6,1422,2
185000,3,0,1997,6,1511,2
179500,2,0,1939,5,2192,1
120500,2,0,1940,5,778,1
148000,2,0,1976,6,1113,1
266000,3,0,2006,8,1939,3
241500,3,0,1954,7,1363,2
290000,3,0,1999,8,2270,3
139000,2,0,1958,6,1632,1
124500,2,0,1982,5,816,1
205000,2,0,1925,7,1548,2
201000,4,0,2003,7,1560,2
141000,2,0,1951,4,864,2
415298,4,0,2006,9,2121,3
192000,3,0,1977,7,2022,2
228500,3,0,1989,7,1982,2
185000,3,0,2006,6,1262,2
207500,3,0,2007,7,1314,2
244600,3,0,2008,8,1468,3
179200,3,0,1992,6,1575,2
164700,3,0,2006,7,1250,2
159000,2,0,1962,6,1734,2
88000,2,0,1971,4,858,0
122000,2,0,1967,5,900,1
153575,2,0,1915,6,1396,1
233230,3,0,2006,8,1919,2
135900,2,0,1912,5,1716,0
131000,2,0,1949,5,1716,1
235000,2,0,1977,7,2263,2
167000,2,0,1953,6,1644,2
142500,2,0,1984,6,1003,2
152000,2,0,1950,5,1558,1
239000,3,0,1997,7,1950,2
175000,2,0,1968,6,1743,2
158500,2,0,1950,6,1152,1
157000,2,0,1953,5,1336,1
267000,3,0,1998,8,2452,2
205000,3,0,2001,7,1541,3
149900,2,0,1972,5,894,2
295000,2,0,1880,7,3493,3
305900,3,0,2004,8,2000,3
225000,3,0,1990,7,2243,3
89500,2,0,1920,6,1406,0
82500,2,0,1940,4,861,2
360000,4,0,2003,9,1944,3
165600,3,0,1993,6,1501,2
132000,2,0,1948,6,972,1
119900,3,0,1939,5,1118,2
375000,3,0,1965,7,2036,2
178000,2,0,1925,7,1641,2
188500,3,0,2004,7,1432,2
260000,3,0,1980,7,2353,2
270000,3,0,2006,8,1959,3
260000,3,0,1993,7,2646,3
187500,3,0,1980,7,1472,2
342643,4,0,2006,9,2596,3
354000,4,0,2004,8,2468,3
301000,2,0,1986,7,2730,2
126175,2,0,1955,3,1163,1
242000,3,0,1967,7,2978,2
87000,2,0,1941,5,803,2
324000,3,0,1993,8,1719,2
145250,2,0,1960,6,1383,1
214500,2,0,1916,6,2134,2
78000,2,0,1920,5,1192,1
119000,2,0,1964,5,1728,1
139000,2,0,1958,5,1056,1
284000,3,0,2003,8,1629,3
207000,3,0,2004,7,1358,2
192000,3,0,1998,6,1638,2
228950,2,0,1965,5,1786,2
377426,4,0,2005,9,1922,3
214000,3,0,2002,7,1536,2
202500,3,0,1984,7,1621,2
155000,2,0,1958,6,1215,1
202900,3,0,2002,8,1908,2
82000,2,0,1950,4,841,1
87500,0,0,1949,3,1040,2
266000,4,0,2005,9,1684,2
85000,3,0,1976,5,1112,1
140200,2,0,1939,6,1577,1
151500,2,0,1960,6,958,1
157500,2,0,1960,6,1478,2
154000,3,0,2003,7,1626,2
437154,4,0,2005,9,2728,3
318061,4,0,2007,9,1869,2
190000,3,0,1986,7,1453,2
95000,2,0,1941,5,1111,1
105900,2,0,1928,6,720,2
140000,2,0,1940,6,1595,1
177500,3,0,1995,6,1200,2
173000,3,0,1992,6,1167,2
134000,3,0,1976,5,1142,2
130000,2,0,1958,5,1352,1
280000,3,0,1998,8,1924,2
156000,3,0,1978,6,912,2
145000,2,0,1940,5,1505,1
198500,0,0,2003,7,1922,2
118000,2,0,1972,6,987,1
190000,3,0,1976,6,1574,2
147000,2,0,1920,5,1344,1
159000,3,0,1963,6,1394,2
165000,3,0,1962,6,1431,1
132000,2,0,1954,5,1268,1
162000,2,0,1959,5,1287,2
172400,3,0,2000,6,1664,2
134432,0,0,1959,4,1588,2
125000,3,0,1984,6,752,1
123000,2,0,1953,5,1319,1
219500,3,0,2003,7,1928,2
61000,1,0,1922,1,904,0
148000,3,0,1996,5,914,2
340000,3,0,2004,8,2466,2
394432,4,0,2010,9,1856,3
179000,3,0,2000,6,1800,2
127000,2,0,1924,5,1691,1
187750,3,0,2006,7,1301,2
213500,3,0,2006,7,1797,2
76000,1,0,1928,6,784,2
240000,3,0,1992,6,1953,2
192000,3,0,2004,8,1269,2
81000,2,0,1910,5,1184,0
125000,2,0,1976,6,1125,1
191000,3,0,1999,7,1479,2
426000,4,0,2007,10,2332,3
119000,2,0,1900,5,1367,1
215000,4,0,2001,6,1961,2
106500,0,0,1959,5,882,1
100000,2,0,1941,4,788,0
109000,2,0,1940,5,1034,1
129000,2,0,1956,5,1144,1
123000,2,0,1972,5,894,2
169500,2,0,1962,5,1812,1
67000,1,0,1920,5,1077,1
241000,3,0,2006,7,1550,2
245500,3,0,1996,8,1288,2
164990,3,0,2005,7,1310,2
108000,2,0,1940,5,672,1
258000,3,0,1998,8,2263,2
168000,3,0,1995,6,1572,2
150000,2,0,1976,4,1620,2
115000,2,0,1936,6,1639,1
177000,3,0,1915,6,1680,1
280000,4,0,2006,7,2172,3
339750,4,0,2007,8,2078,3
60000,2,0,1958,5,1276,1
145000,2,0,1955,5,1056,2
222000,4,0,2009,7,1478,2
115000,2,0,1927,5,1028,2
228000,3,0,1993,7,2097,3
181134,3,0,2007,7,1340,2
149500,2,0,1978,6,1400,2
239000,3,0,1918,6,2624,3
126000,2,0,1940,5,1134,1
142000,2,0,1968,5,1056,1
206300,3,0,1997,7,1344,4
215000,3,0,1977,6,1602,2
113000,2,0,1954,5,988,2
315000,3,0,1998,8,2630,3
139000,3,0,1956,6,1196,1
135000,2,0,1946,7,1389,1
275000,3,0,1989,7,1644,2
109008,2,0,1957,4,907,1
195400,3,0,2007,7,1208,2
175000,3,0,1988,6,1412,2
85400,2,0,1971,6,987,1
79900,2,0,1920,6,1198,0
122500,2,0,1971,5,1365,2
181000,3,0,1997,6,1604,2
81000,3,0,1972,4,630,0
212000,3,0,1996,7,1661,2
116000,1,0,1920,6,1118,2
119000,2,0,1926,6,904,1
90350,2,0,1913,5,694,1
110000,2,0,1920,6,1196,2
555000,4,0,2008,10,2402,3
118000,2,0,1955,4,1440,0
162900,2,0,1930,5,1573,2
172500,4,0,2006,7,1258,3
210000,3,0,1994,7,1908,2
127500,2,0,1956,6,1689,2
190000,2,0,1966,6,1888,2
199900,3,0,1998,7,1886,2
119500,2,0,1937,6,1376,1
120000,2,0,1948,3,1183,1
110000,2,0,1930,6,813,1
280000,3,0,1975,7,1533,2
204000,4,0,1996,6,1756,2
210000,3,0,2008,8,1590,2
188000,2,0,1976,5,1728,2
175500,2,0,1973,7,1242,2
98000,2,0,1916,5,1344,3
256000,3,0,1954,4,1663,2
161000,2,0,1925,8,1666,1
110000,2,0,1950,5,1203,1
263435,3,0,2009,8,1935,2
155000,3,0,1936,7,1135,2
62383,2,0,1965,5,864,1
188700,2,0,1934,6,1660,1
124000,3,0,1978,5,1040,0
178740,3,0,2004,7,1414,2
167000,2,0,1970,7,1277,2
146500,2,0,1942,5,1644,1
250000,3,0,2006,8,1634,3
187000,3,0,1993,6,1710,2
212000,3,0,1985,8,1502,2
190000,3,0,1977,7,1969,2
148000,3,0,2005,6,1072,2
440000,4,0,2006,8,1976,3
251000,3,0,2000,8,1652,2
132500,2,0,1963,5,970,2
208900,3,0,1997,6,1493,2
380000,3,0,2006,9,2643,3
297000,4,0,2007,8,1718,3
89471,1,0,1937,4,1131,2
326000,4,0,2004,9,1850,3
374000,4,0,2003,9,1792,3
155000,2,0,1915,7,1826,1
164000,4,0,1998,6,1216,2
132500,2,0,1962,5,999,1
147000,2,0,1950,5,1113,1
156000,2,0,1965,5,1073,2
175000,3,0,1971,5,1484,2
160000,2,0,1900,5,2414,2
86000,3,0,1970,4,630,1
115000,3,0,1976,5,1304,1
133000,2,0,1941,6,1578,1
172785,3,0,2006,6,1456,2
155000,2,0,1960,5,1269,1
91300,1,0,1938,5,886,1
34900,2,0,1920,4,720,0
430000,3,0,1992,8,3228,2
184000,2,0,1925,7,1820,1
130000,2,0,1967,5,899,1
120000,2,0,1958,5,912,1
113000,2,0,1973,6,1218,1
226700,3,0,2005,7,1768,2
140000,2,0,1965,5,1214,2
289000,2,0,1959,7,1801,2
147000,2,0,1974,6,1322,2
124500,2,0,1952,5,1960,2
215000,3,0,1993,8,1911,2
208300,3,0,2009,6,1218,2
161000,2,0,1928,7,1378,2
124500,2,0,1959,5,1041,1
164900,2,0,1951,5,1363,1
202665,3,0,2005,7,1368,2
129900,2,0,1958,5,864,2
134000,2,0,1983,6,1080,2
96500,2,0,1926,5,789,1
402861,4,0,2009,10,2020,3
158000,2,0,1972,6,2119,2
265000,3,0,1996,7,2344,3
211000,3,0,1998,6,1796,2
234000,3,0,1926,7,2080,1
106250,0,0,1900,4,1294,0
150000,2,0,1957,6,1244,1
159000,2,0,1947,6,1664,2
184750,4,0,2007,10,4676,3
315750,3,0,1996,7,2398,3
176000,3,0,2005,7,1266,2
132000,3,0,1956,5,928,1
446261,4,0,2008,9,2713,3
86000,2,0,1920,4,605,0
200624,2,0,1957,6,2515,2
175000,3,0,1988,6,1509,2
128000,1,0,1920,6,1362,2
107500,0,0,1955,5,827,1
39300,0,0,1946,1,334,0
178000,4,0,2004,8,1414,2
107500,3,0,1910,5,1347,0
188000,3,0,1998,7,1724,2
111250,2,0,1972,4,864,2
158000,2,0,1968,5,1159,1
272000,3,0,2001,8,1601,2
315000,4,0,2006,9,1838,3
248000,3,0,2000,8,2285,3
213250,4,0,1998,7,1680,2
133000,3,0,1998,7,767,1
179665,3,0,2006,7,1496,2
229000,3,0,1988,7,2183,3
210000,3,0,1923,6,1635,2
129500,3,0,1970,5,768,2
125000,2,0,1955,5,825,2
263000,3,0,2003,7,2094,2
140000,3,0,1977,6,1069,2
112500,2,0,1957,5,928,1
255500,4,0,2006,8,1717,3
108000,0,0,1949,4,1126,2
284000,3,0,2003,7,2046,3
113000,2,0,1922,5,1048,1
141000,2,0,1957,5,1092,1
108000,2,0,1920,4,1336,1
175000,3,0,1996,7,1446,2
234000,3,0,2003,7,1557,2
121500,3,0,1957,5,1392,2
170000,3,0,1974,5,1389,2
108000,2,0,1940,5,996,0
185000,3,0,1918,6,1674,2
268000,3,0,1992,7,2295,2
128000,3,0,1915,6,1647,1
325000,3,0,2005,9,2504,3
214000,3,0,2004,7,1535,2
316600,3,0,1983,8,2132,2
135960,3,0,1979,5,943,2
142600,2,0,1965,5,1728,2
120000,2,0,1959,6,864,1
224500,4,0,2009,7,1692,2
170000,3,0,2000,7,1430,2
139000,2,0,1971,5,1109,1
118500,2,0,1947,5,1216,1
145000,2,0,1928,7,1477,1
164500,2,0,1966,5,1320,2
146000,3,0,2007,7,1392,2
131500,2,0,1954,5,1795,1
181900,2,0,1960,6,1429,2
253293,4,0,2008,8,2042,3
118500,3,0,1990,6,816,0
325000,2,0,1893,10,2775,2
133000,2,0,1935,4,1573,1
369900,4,0,2005,8,2028,3
130000,2,0,1918,6,838,1
137000,2,0,1982,5,860,2
143000,2,0,1968,5,1473,1
79500,2,0,1930,5,935,1
185900,3,0,2004,7,1582,2
451950,4,0,2008,10,2296,3
138000,2,0,1982,5,816,2
140000,3,0,2003,6,848,2
110000,3,0,1975,5,924,1
319000,3,0,2005,8,1826,3
114504,2,0,1910,6,1368,1
194201,4,0,2006,7,1402,3
217500,3,0,1977,5,1647,2
151000,3,0,1980,6,1556,2
275000,3,0,2005,8,1904,2
141000,2,0,1937,6,1375,1
220000,3,0,1992,8,1915,2
151000,3,0,2004,7,1200,2
221000,3,0,2002,7,1494,2
205000,2,0,1965,7,1986,2
152000,3,0,1996,5,1040,2
225000,2,0,1948,5,2008,1
359100,3,0,1934,8,3194,2
118500,2,0,1961,4,1029,1
313000,4,0,2000,9,2153,3
148000,3,0,1978,6,1032,2
261500,3,0,2001,8,1872,2
147000,3,0,2007,5,1120,0
75500,3,0,1972,4,630,0
137500,2,0,1963,6,1054,2
183200,3,0,2002,6,1509,2
105500,2,0,1954,6,832,2
314813,4,0,2007,9,1828,3
305000,3,0,2003,8,2262,3
67000,2,0,1914,3,864,0
240000,2,0,1974,6,2614,2
135000,2,0,1977,5,980,2
168500,3,0,2000,6,1512,2
165150,2,0,1972,6,1790,2
160000,2,0,1962,6,1116,2
139900,2,0,1960,5,1422,1
153000,2,0,1955,6,1520,1
135000,3,0,1969,5,2080,2
168500,2,0,1964,6,1350,2
124000,1,0,1880,5,1750,1
209500,3,0,2006,8,1554,2
82500,2,0,1977,7,1411,2
139400,2,0,1954,5,1056,1
144000,2,0,1980,6,1056,2
200000,2,0,1914,6,3395,0
60000,2,0,1936,2,800,0
93000,2,0,1954,5,1387,1
85000,1,0,1910,5,796,0
264561,3,0,2006,8,1567,3
274000,4,0,2003,8,1518,2
226000,3,0,2001,7,1929,2
345000,3,0,1972,8,2704,2
152000,2,0,1969,5,1620,2
370878,4,0,2009,9,1766,3
143250,2,0,1971,6,981,2
98300,0,0,1950,5,1048,2
155000,2,0,1953,6,1094,2
155000,2,0,1966,6,1839,2
84500,3,0,1970,4,630,0
205950,3,0,2007,7,1665,2
108000,2,0,1940,4,1510,1
191000,3,0,1996,7,1716,2
135000,2,0,1906,6,1469,1
350000,3,0,1995,8,2113,3
88000,2,0,1971,6,1092,1
145500,2,0,1959,5,1053,1
149000,3,0,1931,7,1502,1
97500,2,0,1948,6,1458,1
167000,2,0,1964,5,1486,2
197900,3,0,1976,7,1935,2
402000,3,0,1994,8,2448,3
110000,1,0,1968,6,1392,2
137500,3,0,1972,4,1181,2
423000,4,0,2005,8,2097,3
230500,3,0,2000,8,1936,2
129000,3,0,1965,6,2380,2
193500,3,0,1994,6,1679,2
168000,2,0,1956,5,1437,2
137500,1,0,1922,4,1180,1
173500,3,0,2005,6,1476,2
103600,2,0,1925,6,1369,1
165000,3,0,1977,6,1208,2
257500,2,0,1957,6,1839,2
140000,2,0,1965,6,1136,1
148500,2,0,1978,6,1441,2
87000,2,0,1900,4,1774,3
109500,2,0,1924,5,792,1
372500,4,0,2008,8,2046,3
128500,2,0,1961,5,988,2
143000,3,0,1980,6,923,1
159434,2,0,1932,5,1520,1
173000,3,0,1996,6,1291,2
285000,3,0,2002,9,1668,3
221000,3,0,1998,7,1839,2
207500,3,0,1984,7,2090,2
227875,3,0,2007,7,1761,2
148800,3,0,2004,7,1102,2
392000,3,0,2007,8,1419,2
194700,3,0,2005,6,1362,2
141000,3,0,2004,6,848,2
755000,4,0,1994,10,4316,3
335000,3,0,1989,7,2519,2
108480,2,0,1921,5,1073,1
141500,2,0,1936,5,1539,2
176000,3,0,1987,6,1137,2
89000,2,0,1921,5,616,1
123500,4,0,1952,5,1148,1
138500,2,0,1965,5,894,1
196000,3,0,2004,7,1391,2
312500,4,0,2002,8,1800,3
140000,2,0,1969,7,1164,2
361919,4,0,2006,8,2576,3
140000,3,0,1900,5,1812,2
213000,3,0,2004,7,1484,2
55000,0,0,1930,4,1092,0
302000,3,0,1971,7,1824,2
254000,3,0,2006,8,1324,2
179540,3,0,2007,7,1456,2
109900,2,0,1966,5,904,1
52000,2,0,1935,3,729,0
102776,2,0,1900,4,1178,1
189000,3,0,1988,8,1228,2
129000,2,0,1970,4,960,2
130500,2,0,1976,6,1479,2
165000,3,0,1974,6,1350,2
159500,2,0,1890,7,2554,2
157000,3,0,1973,5,1178,2
341000,3,0,1993,7,2418,3
128500,3,0,1969,5,971,1
275000,3,0,1985,8,1742,2
143000,3,0,2004,6,848,2
124500,2,0,1970,4,864,2
135000,2,0,1954,4,1470,1
320000,4,0,2007,9,1698,3
120500,2,0,1970,4,864,2
222000,3,0,1988,6,1680,2
194500,3,0,2007,7,1232,2
110000,2,0,1958,5,1776,3
